"spp","ncells","nrecords","maxent810m","maxent25km","maxent50km","clippedMaxent810m","clippedMaxent25km","clippedMaxent50km","convexHull","occurrenceBUffer"
"Clarkia heterandra",147,178,126605,329,112,57156,143,54,138977309554.363,84965198393.1868
"Clarkia imbricata",7,20,109511,310,109,518,4,4,1105679.20958606,370384379.181007
"Clarkia jolonensis",35,42,35851,198,85,4391,17,8,4110635002.54766,7037854164.75967
"Clarkia lassenensis",78,98,158635,396,127,82272,147,46,73483565456.8339,68791085151.7785
"Clarkia lewisii",63,92,109130,325,118,9467,22,9,5116332843.24657,8629209993.87009
"Clarkia lingulata",2,5,158353,450,145,275,3,3,60337.0677602304,384856533.482429
"Clarkia mildrediae",102,159,39423,124,49,5382,14,5,3377944147.31215,6069092060.22221
"Clarkia modesta",81,123,110907,253,89,43225,110,43,84677707920.2693,54993123690.479
"Clarkia mosquinii",30,49,23188,99,42,2128,8,3,476793988.289319,1781656942.88516
"Clarkia prostrata",14,23,15625,126,58,2208,20,11,1852628698.32373,3970182441.74312
"Clarkia purpurea",1557,2315,237418,429,145,236812,403,130,274802579414.873,347539132884.72
"Clarkia rhomboidea",660,915,217165,424,146,209953,388,129,307091500928.639,315428429018.923
"Clarkia rostrata",11,36,122871,362,123,4839,14,6,1798858936.50192,3369302714.8996
"Clarkia rubicunda",192,327,40851,180,68,15269,39,17,10787938068.5457,17178762774.9955
"Clarkia similis",113,142,162013,316,110,44719,100,37,58675079379.0825,45921613775.1384
"Clarkia speciosa",160,277,166784,375,124,61005,127,46,74792491416.1925,58508277251.971
"Clarkia springvillensis",12,37,93519,278,102,1061,6,4,174623295.923315,1091698905.34494
"Clarkia stellata",40,57,79423,210,72,14070,32,12,9183225850.95585,12205729905.561
"Clarkia tembloriensis",56,105,191402,388,117,29307,69,24,28947410900.1045,25021691942.1503
"Clarkia unguiculata",616,849,183603,337,116,167339,302,105,182394512141.09,216708822013.837
"Clarkia virgata",25,30,60117,180,69,9864,28,12,6026467732.55125,7784480571.06948
"Clarkia williamsonii",134,240,122830,281,93,34953,77,29,38618764567.0754,38097821212.0138
"Clarkia xantiana",116,178,126077,332,105,17171,37,15,15389011020.6322,16158273646.8835
"Claytonia cordifolia",21,34,41357,161,57,6296,27,14,20916567336.6247,8381472056.5937
"Claytonia exigua",366,508,218360,418,138,192319,357,112,231093353125.63,231798931663.851
"Claytonia gypsophiloides",94,131,133229,312,106,36959,90,36,46577833988.1281,35322925086.2881
"Claytonia lanceolata",140,184,112855,249,86,83650,162,56,193451013988.007,101836558999.508
"Claytonia megarhiza",17,26,12821,88,41,4245,21,10,11818358297.0802,7455432382.91533
"Claytonia nevadensis",38,71,26363,136,55,11562,40,16,36229845224.6079,15151121152.093
"Claytonia palustris",44,77,78376,189,67,25985,68,26,54746592798.1087,26237427486.8113
"Claytonia parviflora",1233,1758,274841,497,155,272642,487,149,336006483301.868,421378855275.839
"Claytonia perfoliata",1207,1621,235519,454,157,235236,443,151,367864798753.739,471445388905.266
"Claytonia rubra",399,489,161204,330,117,155438,299,100,299573323129.465,286248135977.506
"Claytonia saxosa",36,57,22099,119,45,4685,22,11,11869387136.1814,9720989287.45711
"Claytonia sibirica",177,219,80836,225,80,57003,123,45,87150414078.9014,71670954457.1319
"Claytonia umbellata",7,8,111443,242,89,4143,19,9,12972520768.7223,3604490613.28706
"Claytonia washingtoniana",5,6,9876,50,23,1284,8,6,1075192581.96409,1833908033.08757
"Clematis lasiantha",666,1009,175853,332,115,169119,309,105,200540182734.244,217923260575.682
"Clematis ligusticifolia",632,961,300291,574,179,260572,485,154,299166802035.781,361084733093.53
"Clematis pauciflora",356,556,157056,372,125,34448,79,28,37452691850.8612,45987218853.0187
"Cleomella brevipes",44,82,110039,284,97,19989,61,25,42115517095.4898,19744983475.7601
"Cleomella hillmanii",2,3,5522,40,17,314,4,4,23907.1350401621,483266742.72891
"Cleomella obtusifolia",197,355,143316,246,82,87848,160,52,88969612228.1499,81666264255.6938
"Cleomella parviflora",64,104,64201,189,66,27657,71,31,60088208513.5323,33545289424.5137
"Cleomella plocasperma",43,90,97763,238,81,11361,38,17,15221464333.7603,10317971239.8182
"Clinopodium chandleri",29,61,40765,205,86,4495,15,7,2369851412.09517,3565887372.98753
"Clinopodium douglasii",206,285,69797,253,95,58546,158,60,141124399591.411,115917827724.987
"Clinopodium mimuloides",46,79,97554,306,110,15685,51,20,22317625697.3799,17038776205.8897
"Clintonia andrewsiana",96,109,33175,108,46,24082,71,31,29675687605.0872,31084310051.4193
"Clintonia uniflora",95,114,64375,165,60,44716,109,40,66881995638.1989,48960527977.4212
"Cneoridium dumosum",156,293,79993,291,114,8495,25,11,6066351304.01954,10917192482.8852
"Cochlearia officinalis",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Coleogyne ramosissima",258,343,196308,346,112,82784,144,45,71020054861.8846,69294515338.4925
"Collinsia antonina",14,30,40595,253,102,1240,6,2,694395250.232835,2245651667.26098
"Collinsia bartsiifolia",239,314,257555,465,139,159781,277,84,152807526676.668,157175311790.314
"Collinsia callosa",114,163,110434,353,124,37244,83,28,43688835804.4597,39924094640.0973
"Collinsia childii",183,257,67954,273,105,28897,107,43,100800116456.101,74774758052.0326
"Collinsia concolor",218,299,134329,289,101,14060,33,12,16698989988.0085,19450215824.4569
"Collinsia corymbosa",17,39,1351,22,13,449,6,3,304180005.913806,1073885091.7801
"Collinsia grandiflora",35,44,84780,198,67,28139,61,24,39733695843.322,24163353714.8714
"Collinsia greenei",143,183,103649,241,88,38270,71,25,26846550698.4684,31134917729.0083
"Collinsia heterophylla",1029,1366,186462,346,115,180915,335,109,200975486893.829,262450475046.047
"Collinsia linearis",68,87,67975,167,59,24370,48,16,17617728173.8895,19785110104.1491
"Collinsia multicolor",36,65,29798,164,68,4965,22,11,8916316036.03584,6195196065.02159
"Collinsia parryi",153,229,60132,270,97,16998,44,15,15647689501.415,18285685621.3048
"Collinsia parviflora",439,608,148651,284,97,147380,266,88,267026785558.721,234512060037.697
"Collinsia rattanii",115,143,121968,297,110,62776,98,31,56382535332.1226,51379883057.9997
"Collinsia sparsiflora",404,551,141455,309,109,127208,231,76,129973919626.473,146799738349.355
"Collinsia tinctoria",208,279,138745,311,105,77086,152,53,103823848083.573,85190582873.7305
"Collinsia torreyi",418,576,110454,260,94,105779,226,77,218623605879.534,173329535081.939
"Collomia diversifolia",78,105,72535,199,80,11741,30,13,17018061933.2168,13588464010.3758
"Collomia grandiflora",484,598,203954,399,138,198292,354,116,299052921174.546,291075405525.075
"Collomia heterophylla",325,403,139501,281,99,125761,230,77,163171256204.807,147023343233.811
"Collomia larsenii",8,21,75053,235,81,2213,11,8,1413441472.32921,1963765053.07669
"Collomia linearis",173,214,85179,192,67,66202,145,50,105059566095.998,96278735940.5193
"Collomia rawsoniana",19,36,56826,203,75,2113,11,4,1566281364.32618,2630426219.06591
"Collomia tenella",1,1,623355,744,213,470,4,1,0,309016994.37493
"Collomia tinctoria",227,273,123434,264,94,108564,197,61,194555953120.168,137136011912.924
"Collomia tracyi",125,173,60815,157,55,28560,57,18,18230261211.0427,24093401197.3092
"Colubrina californica",27,63,32047,77,30,5228,16,8,4570701622.06322,4801431911.93551
"Comandra umbellata",223,343,133167,308,109,76281,161,56,117201414807.113,93325214661.1764
"Comarostaphylis diversifolia",175,431,35550,125,48,11790,46,21,9184194916.09735,18817627188.4187
"Comarum palustre",39,73,137714,313,106,37987,100,36,109624733889.265,44902528014.3807
"Comastoma tenellum",32,56,18673,60,26,6479,24,13,7689277682.33786,6445156849.8521
"Condalia globosa",51,77,40152,102,40,8005,19,9,3613072518.82053,6663408933.13952
"Condea emoryi",525,954,147106,275,94,61455,91,29,41663721268.6125,56240820774.6822
"Conioselinum pacificum",6,9,5887,50,26,1053,12,6,13100986484.4384,3312993944.57484
"Constancea nevinii",26,78,1054,15,11,376,5,4,183028530.891022,1467568455.17556
"Convolvulus simulans",135,213,112305,344,118,54844,148,59,84665585179.6372,73006032969.7913
"Coptis laciniata",22,31,60553,173,64,12982,34,17,9089613008.41373,9308717638.26472
"Corallorhiza maculata",312,378,134889,283,97,131521,254,88,280497177921.2,232561541718.696
"Corallorhiza mertensiana",50,52,93654,249,86,28666,57,20,24384811178.7474,22417239066.7051
"Corallorhiza striata",79,87,170846,340,114,106579,211,73,134456299082.748,104155469573.329
"Corallorhiza trifida",2,2,85218,236,80,485,5,2,0,618033988.749823
"Cordylanthus capitatus",6,11,33864,109,43,627,5,2,133469055.012061,1103475804.00745
"Cordylanthus eremicus",47,94,83983,272,99,10691,34,14,18019035650.9875,12879950324.1575
"Cordylanthus kingii",43,64,33647,108,46,11056,31,12,9004846487.74612,10424273330.3509
"Cordylanthus nevinii",142,207,46536,221,82,6633,37,16,34357206079.9015,21785023023.1559
"Cordylanthus nidularius",4,17,89747,408,149,541,2,1,1764725.95376891,377586908.939531
"Cordylanthus parviflorus",26,46,15618,94,38,1127,5,2,308428126.488146,1765737233.0239
"Cordylanthus pilosus",177,264,133670,290,98,88480,164,54,80108926826.1525,76039864244.5466
"Cordylanthus pringlei",30,46,79397,207,78,4933,18,8,2644531450.78841,4255287679.28154
"Cordylanthus ramosus",33,49,71563,196,73,18276,46,19,19223821584.904,15184896221.7203
"Cordylanthus rigidus",723,1096,142561,420,141,103886,232,81,147831456852.461,158055405081.052
"Cordylanthus tenuis",383,611,133376,268,93,115900,196,61,124680818885.039,132472392998.456
"Corethrogyne filaginifolia",1552,2859,150785,431,154,125139,293,102,235006166486.037,251769538259.215
"Corispermum americanum",3,3,6146,43,21,331,3,3,18813718.3168924,649344902.792747
"Cornus canadensis",6,9,86845,281,102,3381,16,7,7347171042.01905,3055485885.04196
"Cornus glabrata",301,476,180873,384,125,171686,332,102,244894612120.894,237261215083.401
"Cornus nuttallii",541,777,118830,240,83,117487,226,79,231104753412.025,207357314067.803
"Cornus sericea",880,1298,233981,457,152,229236,429,139,315402262208.731,360067430417.479
"Cornus sessilis",136,217,76795,173,62,41019,86,28,44962145100.2648,44031649152.2733
"Corydalis aurea",3,3,8318,37,15,281,2,2,1317023.41070207,514407110.723312
"Corydalis caseana",60,106,81647,198,65,21824,45,16,24848080973.2453,18636630714.7537
"Corylus cornuta",470,649,162548,349,115,145353,246,81,151835197864.858,153033484614.918
"Coryphantha alversonii",32,37,120349,210,72,15673,34,15,14487948803.3019,12631501330.1852
"Coryphantha chlorantha",20,23,69713,186,67,4060,9,4,1805062567.26714,3187279176.62184
"Coryphantha vivipara",9,10,146122,265,89,2632,8,4,738326640.902411,1773228738.45564
"Crassula aquatica",196,276,206746,446,150,158320,275,91,194849090774.814,169247757275.147
"Crassula connata",761,963,252723,471,151,207253,368,117,230054145007.949,297485289630.108
"Crassula solieri",35,48,241025,466,147,32837,72,26,82176282525.5161,29207891903.9543
"Crataegus castlegarensis",12,30,102983,362,122,5148,21,9,2862054098.19183,3954839146.14787
"Crataegus douglasii",52,68,73599,230,76,35229,102,38,78561423103.9928,45533220303.0422
"Crataegus gaylussacia",66,147,112261,336,117,38084,82,30,62779348542.4256,35513895436.4324
"Crepis acuminata",306,431,129277,260,89,126827,243,81,207493234700.866,181969143630.804
"Crepis bakeri",36,54,118007,275,97,42029,87,33,47483218769.7832,33577739978.4839
"Crepis intermedia",136,181,170712,312,105,119345,199,66,113427598107.512,106863274995.123
"Crepis modocensis",64,86,84214,194,70,32264,65,24,29871308826.5523,27692587470.6258
"Crepis monticola",60,88,145438,315,110,57101,103,32,74456378722.8858,48022423513.8434
"Crepis nana",57,87,57839,222,84,18093,47,20,40668683741.1111,21442418625.0336
"Crepis occidentalis",285,423,141673,286,97,133461,249,79,220962040823.928,173700160898.832
"Crepis pleurocarpa",220,286,88284,216,74,71084,141,48,89538890384.2043,81419888239.3199
"Crepis runcinata",35,58,28811,102,42,8333,24,8,6230136360.4622,7837022005.4488
"Cressa truxillensis",296,448,256842,524,165,184292,396,132,308936186284.888,253820334078.792
"Crocanthemum aldersonii",69,72,127232,322,116,10825,30,12,8237483584.67101,11617795547.5573
"Crocanthemum greenei",35,52,9820,70,35,996,9,6,513390724.124506,2842823586.04717
"Crocanthemum scoparium",743,1186,155339,342,124,114536,237,81,161655571330.175,169951275738.14
"Crocanthemum suffrutescens",4,4,101242,336,118,473,4,1,7020932.14794624,566201631.617494
"Crocidium multicaule",93,123,167125,455,147,88731,223,71,177337976157.065,115496496017.951
"Crossosoma bigelovii",130,256,161498,342,108,23477,70,29,42051405054.994,25399204893.0913
"Crossosoma californicum",71,219,1289,18,14,483,8,6,183247790.901525,1895350771.0656
"Croton californicus",827,1271,213506,412,129,147158,274,86,211982096226.946,185582213136.41
"Croton setiger",677,852,233764,502,161,223614,429,136,287249744788.888,344263502006.134
"Croton wigginsii",43,75,14679,54,22,3602,13,6,1314980159.06317,3170674069.37436
"Cryptantha affinis",323,422,149980,282,101,143692,261,87,257407387042.061,205565835497.26
"Cryptantha ambigua",63,78,96679,254,91,58232,138,47,74307557390.0249,64480119764.1922
"Cryptantha angustifolia",851,1117,157917,240,76,126297,195,59,109333855595.142,128725236684.116
"Cryptantha barbigera",779,1115,236315,349,110,164881,249,78,169298710025.46,177325348201.488
"Cryptantha celosioides",2,4,31631,104,39,153,3,1,1376445.14577163,561099561.070939
"Cryptantha cinerea",49,61,85480,189,70,6929,23,12,26083324123.9291,9074511520.52582
"Cryptantha circumscissa",924,1229,188022,333,109,164276,296,98,215171728121.378,232122862545.252
"Cryptantha clevelandii",604,981,71239,239,89,62235,162,62,80420118006.1171,108408166457.934
"Cryptantha clokeyi",35,49,99299,286,92,14572,42,18,29750337277.7866,15681758948.3963
"Cryptantha confertiflora",124,183,66614,168,65,26724,77,30,64736001904.5617,41273784640.2408
"Cryptantha corollata",142,200,166006,321,102,58535,114,38,57047969399.1632,53163930361.5865
"Cryptantha costata",149,236,75246,152,50,58120,124,43,80974966789.1886,65596676872.8046
"Cryptantha crinita",39,58,20818,136,50,5366,16,8,3843716247.57078,5454328809.14197
"Cryptantha crymophila",14,27,26714,102,43,2484,10,4,430397535.624188,1828812664.48181
"Cryptantha decipiens",314,409,275731,428,124,196857,330,99,207206937857.907,202108549266.932
"Cryptantha dissita",27,40,110162,291,102,8912,24,9,13289205373.6683,6984270758.74499
"Cryptantha dumetorum",184,249,158150,252,80,97992,167,56,88152340487.8611,95025990189.3779
"Cryptantha echinella",192,249,161879,340,121,102088,206,75,163790587857.449,116998382583.661
"Cryptantha excavata",5,11,105666,446,149,1077,6,5,77634312.4496421,982469843.361992
"Cryptantha fendleri",5,10,101877,202,63,2473,13,8,2981012144.88734,2257490931.25033
"Cryptantha flaccida",420,532,182184,390,134,176830,352,115,276042723359.102,302282586005.749
"Cryptantha flavoculata",84,131,65376,184,71,19310,53,21,22120898445.6324,20502243758.3416
"Cryptantha ganderi",14,22,71988,137,49,1427,4,2,237329094.497544,1293726279.9655
"Cryptantha glomeriflora",81,116,59883,157,61,28802,63,22,24000261173.7591,26576965397.3835
"Cryptantha gracilis",102,125,111170,289,101,31451,94,37,61033454539.2958,39971606061.2046
"Cryptantha hispidula",63,94,84594,224,82,9075,24,11,8901052925.59147,8130785620.79247
"Cryptantha hoffmannii",19,23,32792,136,59,5168,17,7,9387248439.42735,4646484691.39642
"Cryptantha holoptera",92,130,161784,280,94,82635,148,48,96297294719.8528,76440462085.0276
"Cryptantha hooveri",6,23,175465,500,171,3789,18,12,4968071734.00133,2741358769.44591
"Cryptantha humilis",85,109,74536,187,72,34227,87,34,33016920813.0553,32867489425.622
"Cryptantha inaequata",55,79,142523,236,73,55286,117,41,63473355201.4629,48137899436.0533
"Cryptantha incana",40,54,24511,156,63,6225,21,7,4562999885.84566,7115200005.99323
"Cryptantha intermedia",1579,2255,172356,350,116,158448,304,97,330693582671.154,355732294401.972
"Cryptantha leiocarpa",109,166,19986,119,54,15903,86,42,118809727670.419,62673800032.8869
"Cryptantha mariposae",17,26,41582,171,73,4224,14,8,2651801209.87291,4207083146.21652
"Cryptantha maritima",573,775,157587,242,76,126562,191,59,146277463069.564,154000304891.097
"Cryptantha micrantha",679,897,309914,525,159,186401,277,85,167102734574.351,177117420481.189
"Cryptantha micromeres",231,306,134351,355,130,67227,154,59,129512328967.369,94619365822.4907
"Cryptantha microstachys",467,657,158527,304,98,101914,218,74,146471917096.705,144949340958.978
"Cryptantha milobakeri",52,69,138229,279,95,63468,121,39,61696037032.9335,51042144182.3632
"Cryptantha mohavensis",57,98,143021,345,118,31728,74,27,54932783144.3961,29207260106.4931
"Cryptantha muricata",1193,1624,132482,357,117,121588,325,108,295518411850.268,295656298355.691
"Cryptantha nemaclada",65,92,128378,386,136,25542,71,27,51283796718.4305,30027338967.2356
"Cryptantha nevadensis",731,989,259101,382,120,227551,336,101,231150932923.056,242498031532.199
"Cryptantha nubigena",118,154,24728,93,39,18487,51,17,18192793748.8346,21449718162.451
"Cryptantha oxygona",199,278,183007,432,138,71115,162,59,104524885806.298,77621059822.945
"Cryptantha pterocarya",912,1220,263894,413,131,200126,302,97,218561324295.053,203879980641.191
"Cryptantha racemosa",189,257,230602,355,114,113063,179,58,106723863307.88,96328246306.604
"Cryptantha rattanii",49,73,118714,334,121,15285,42,19,15590490840.8522,14993966128.8634
"Cryptantha recurvata",63,82,178017,323,105,42319,97,35,50525043758.9912,35005067203.148
"Cryptantha roosiorum",9,18,1505,18,8,226,3,1,24984333.8794774,584598431.833745
"Cryptantha rostellata",10,16,125207,320,113,15841,50,21,29058307331.8361,12903067283.9675
"Cryptantha schoolcraftii",1,1,623355,744,213,248,1,1,0,309016994.374929
"Cryptantha scoparia",16,29,24030,100,42,6167,26,11,8332270175.14644,6019820747.638
"Cryptantha similis",69,76,99824,256,87,27878,53,20,47908015997.6938,24503000790.8883
"Cryptantha simulans",292,396,143883,338,117,124790,273,90,236413633236.203,199414691652.217
"Cryptantha sparsiflora",35,45,101887,320,112,17840,57,23,39548276515.138,22846089478.7438
"Cryptantha spithamaea",8,11,151901,388,129,1290,6,3,174161247.58346,1222544001.85132
"Cryptantha subretusa",15,19,30950,193,71,2904,21,8,14518071169.0891,5771811462.39902
"Cryptantha torreyana",327,431,188713,324,116,179027,292,98,224663133320.777,225801111878.527
"Cryptantha tumulosa",87,132,37092,147,55,7674,34,14,17593816921.1619,13511973189.8486
"Cryptantha utahensis",390,518,260032,407,128,151932,221,67,114304950294.978,128659906468.732
"Cryptantha virginensis",95,117,102117,245,82,29642,71,24,37608123483.926,30435047946.8323
"Cryptantha watsonii",51,75,75024,168,65,30727,81,32,33560552014.6574,32316746945.1547
"Cryptogramma acrostichoides",324,454,57862,191,68,52118,151,52,122255523811.356,98867126694.4696
"Cryptogramma cascadensis",41,51,42195,190,67,19179,83,35,44861824941.1359,27874672667.138
"Cucurbita digitata",3,5,300372,469,143,2166,13,8,11071422131.2713,2560177774.40509
"Cucurbita foetidissima",187,243,138733,389,127,89287,224,75,217769628916.057,145265605757.648
"Cucurbita palmata",210,262,214434,335,103,160730,271,88,180041519622.273,162850194342.367
"Cuniculotinus gramineus",3,11,1713,20,8,192,2,1,2151353.43802621,398018443.485862
"Cuscuta brachycalyx",12,14,217639,506,160,17158,60,25,57519034422.4297,17470858455.4626
"Cuscuta californica",788,1067,229725,539,166,201103,513,158,363354502558.655,449641880363.516
"Cuscuta campestris",44,63,144918,396,141,71194,170,66,159907927326.256,86866106985.5584
"Cuscuta cephalanthi",3,4,102711,277,93,1388,8,4,686937372.193446,1151625033.0907
"Cuscuta denticulata",67,96,199574,299,93,96981,175,56,92702868845.4299,80363755807.111
"Cuscuta howelliana",33,47,144129,457,152,30650,79,36,59806806396.5467,28190685880.7819
"Cuscuta indecora",57,79,317770,536,161,116738,234,84,165366855173.887,98580602712.916
"Cuscuta jepsonii",5,8,90824,196,73,2171,8,7,1935786708.03203,1876049616.01585
"Cuscuta nevadensis",21,25,173902,304,100,28177,69,30,55787838320.5562,24018737105.2144
"Cuscuta obtusiflora",3,3,320605,542,168,3998,16,12,14390799589.209,2853808245.22984
"Cuscuta occidentalis",51,64,71994,236,90,42077,147,57,221677424564.254,115656654387.365
"Cuscuta pacifica",80,107,35202,169,77,27937,113,48,125174754815.95,67235108476.0744
"Cuscuta salina",74,95,28210,166,76,19695,96,42,176343269967.447,88630764752.1768
"Cuscuta suaveolens",1,1,623355,744,213,473,4,2,0,309016994.37493
"Cuscuta subinclusa",339,462,187043,460,153,150214,341,118,218748762512.813,222239270849.281
"Cuscuta suksdorfii",18,35,100576,252,82,18623,53,23,67986793344.4782,21391770097.3807
"Cusickiella douglasii",43,56,112226,257,92,39038,95,36,123285191700.978,45802066292.5092
"Cusickiella quadricostata",24,52,11256,52,24,2029,8,5,668063948.175255,2045143646.86336
"Cycladenia humilis",109,176,105598,307,107,45518,128,49,199975275118.665,74723947703.0898
"Cylindropuntia acanthocarpa",59,75,212661,379,128,35759,75,31,48353606314.7982,28989796947.7257
"Cylindropuntia bigelovii",67,93,112388,226,76,28784,67,24,38544385824.88,26989046517.4805
"Cylindropuntia californica",144,191,135810,342,123,34442,85,30,33578801154.8255,37245299210.4945
"Cylindropuntia echinocarpa",151,206,238224,355,110,123969,211,67,122289585514.844,112178596567.89
"Cylindropuntia ganderi",77,106,274987,427,125,9584,27,11,6677565727.79771,8811649056.73217
"Cylindropuntia munzii",14,24,39617,133,55,2102,9,4,644946880.354719,1757275219.79909
"Cylindropuntia prolifera",79,122,16881,126,61,8016,36,17,8276553162.6862,15612273388.549
"Cylindropuntia ramosissima",82,106,176044,258,81,79933,136,47,78258849146.07,66446595225.1413
"Cylindropuntia wolfii",28,60,224945,396,118,3954,11,4,1991571837.65048,3422369452.41241
"Cymopterus aboriginum",36,43,19375,103,44,5726,28,12,7839311058.11521,9253854075.48981
"Cymopterus cinerarius",55,75,21356,72,32,9221,37,14,13431735269.5857,11383208229.5531
"Cymopterus deserticola",15,25,15774,68,28,4207,16,7,3688122308.41288,4169317236.74817
"Cymopterus gilmanii",36,52,47376,170,61,6747,27,12,5973730789.81491,6343526922.40275
"Cymopterus globosus",2,3,1042,14,6,136,3,1,0,618033988.749918
"Cymopterus multinervatus",19,23,85847,181,63,13955,41,17,22490889117.5559,12428157063.5214
"Cymopterus panamintensis",96,133,132823,255,85,53550,111,38,53585615272.9937,46123121595.1338
"Cymopterus purpurascens",16,19,62600,215,78,6303,25,10,12568855836.9158,5933365960.80474
"Cymopterus ripleyi",3,5,55276,158,55,271,2,2,606624.233404612,381508473.402603
"Cymopterus terebinthinus",214,288,159909,288,99,98036,170,59,136563584662.598,99379748140.0806
"Cynoglossum grande",370,453,140918,311,106,124349,248,81,167131015247.937,162966277070.627
"Cynoglossum occidentale",172,222,148560,313,109,108127,193,64,125518151326.58,109311092716.265
"Cyperus acuminatus",21,33,138702,386,125,22803,60,22,62468924819.3358,21896015795.26
"Cyperus bipartitus",38,52,142179,339,117,43686,100,35,67241725749.3125,37303720508.9507
"Cyperus eragrostis",706,987,184960,433,151,176329,353,115,230378639599.401,281555043106.605
"Cyperus erythrorhizos",231,357,279688,514,158,209316,372,118,293504001223.856,241494926254.237
"Cyperus esculentus",179,251,245711,536,168,166048,360,115,260622043971.937,228422701366.448
"Cyperus laevigatus",44,80,210475,348,109,46295,119,44,94457886896.6999,51841852441.994
"Cyperus niger",169,277,228827,439,149,167792,306,106,211441515715.821,177606626093.466
"Cyperus odoratus",155,229,196343,395,124,126589,242,82,237669595190.058,148795674284.435
"Cyperus parishii",23,38,376375,542,161,18317,42,16,28536466313.992,14297925869.9499
"Cyperus squarrosus",304,413,309541,551,171,284681,493,153,343834708690.266,346093179622.299
"Cyperus strigosus",85,131,77873,263,97,53123,136,50,163749247475.181,87079246446.165
"Cypripedium californicum",108,173,101004,227,82,55214,116,40,73757434303.4973,51662137921.964
"Cypripedium fasciculatum",36,52,142527,341,122,44428,100,37,74263955779.4469,40301920259.9302
"Cypripedium montanum",78,119,139719,326,115,96568,179,61,153500053039.224,99832666802.9277
"Cypripedium parviflorum",1,1,623355,744,213,469,2,1,0,309016994.375047
"Cystopteris fragilis",736,1000,228001,394,137,225197,382,129,344072214474.614,354026148266.487
"Dalea mollis",239,310,140032,220,71,95323,161,53,98209057034.7367,100034047776.769
"Dalea mollissima",320,397,138004,223,71,112152,181,57,97363772770.582,113448490853.328
"Dalea ornata",2,5,12384,81,30,269,2,1,192041.094063842,343821254.903301
"Dalea searlsiae",29,50,73250,234,88,4683,14,7,12020998518.3649,4671587909.26286
"Damasonium californicum",100,151,124780,390,142,75762,148,46,87368253186.3612,73701435422.8968
"Danthonia californica",694,1049,173989,358,120,170248,329,108,306517211015.166,284732725519.073
"Danthonia intermedia",117,180,52055,190,69,39481,114,40,69666220575.5749,56221409972.8702
"Danthonia unispicata",219,306,128253,261,86,122060,232,74,217053520084.427,157437789450.89
"Darlingtonia californica",185,337,84560,227,80,27602,56,21,29510420876.5427,22791128896.1249
"Darmera peltata",100,129,121508,259,96,79136,148,50,75958874112.2017,72188321247.0266
"Dasiphora fruticosa",170,240,46137,201,73,33147,116,44,85058987787.5802,58824351447.1808
"Dasyochloa pulchella",317,404,226795,345,110,127870,187,59,88786297562.2469,105972932108.86
"Datisca glomerata",449,625,231383,408,127,207155,368,117,240187677333.826,253979802411.371
"Datura discolor",83,107,80106,156,54,29039,54,18,20869814524.8342,25489477335.4746
"Datura wrightii",600,758,271389,454,139,251154,428,131,281813965674.66,308421400782.507
"Daucus pusillus",670,879,180122,417,145,167010,334,114,238963634966.685,299858892606.168
"Dedeckera eurekensis",31,95,16330,71,33,3674,16,6,3206697636.80751,3891124517.788
"Deinandra arida",16,63,37741,111,35,401,3,2,11771672.555389,519876156.02469
"Deinandra bacigalupii",2,10,35965,285,117,152,4,2,22070.3979070078,321382549.894388
"Deinandra clementina",37,104,4198,35,21,382,6,5,369664188.504354,1988455832.87136
"Deinandra conjugens",25,48,3057,50,24,711,6,2,142334182.997964,1012636412.79179
"Deinandra corymbosa",202,397,31542,121,50,22903,67,27,30773782329.9629,36088091273.907
"Deinandra fasciculata",726,1143,54426,224,93,38917,108,43,79206440787.3344,83378693966.1557
"Deinandra floribunda",30,59,96285,295,105,1957,7,4,785740586.131065,2496301172.62515
"Deinandra halliana",25,45,161154,395,123,7645,21,8,3844048788.92458,5507294757.81122
"Deinandra increscens",136,275,11800,84,42,8054,36,16,12168962738.8462,15507155088.5789
"Deinandra kelloggii",261,439,170556,375,114,92059,180,59,98534309516.2129,104302320249.389
"Deinandra lobbii",49,79,192110,465,154,28391,64,25,55969892449.4251,24928661309.4207
"Deinandra minthornii",28,80,23995,151,66,2210,7,3,655922619.015075,1983231177.64769
"Deinandra mohavensis",77,169,108252,324,111,10706,39,16,13763272976.0505,10693431557.5521
"Deinandra pallida",121,197,83779,261,86,18122,35,13,13117722297.5398,17635369394.2758
"Deinandra paniculata",214,349,166335,403,127,28215,78,28,29758994744.111,29888498366.6262
"Deinandra pentactis",41,72,87328,302,105,9844,29,11,9690012705.40406,10898047149.8338
"Delphinium andersonii",70,96,64882,164,62,41542,92,34,43739830637.5474,43595233771.529
"Delphinium antoninum",23,29,13997,105,40,2873,17,10,6852832400.80618,6449615799.08554
"Delphinium bakeri",7,18,58665,203,81,1833,7,4,670941578.176655,1607873478.45085
"Delphinium californicum",72,135,54735,211,81,21780,59,23,20852750742.6861,27131052765.7622
"Delphinium cardinale",251,374,134242,288,98,47351,106,38,58439322910.0107,53780256733.33
"Delphinium decorum",140,186,83153,212,78,53733,116,43,69946915318.4232,68629052100.8147
"Delphinium depauperatum",97,115,76875,208,70,45770,99,35,60632049623.3405,50758424934.9279
"Delphinium glaucum",142,216,87619,236,83,48949,124,44,111870012573.421,70118860866.4373
